row_id,timestamp,close,return,anomaly_zscore,anomaly_kmeans,anomaly_rf,anomaly_gmm,votes,final_label
0,2025-12-18T05:00:00.000Z,86440.9,-0.37403145469341315,0,0,0,0,0,Normal
1,2025-12-18T06:00:00.000Z,86645.93,0.23719095937224655,0,0,0,0,0,Normal
2,2025-12-18T07:00:00.000Z,86833.84,0.2168711213556218,0,0,0,0,0,Normal
3,2025-12-18T08:00:00.000Z,86978.98,0.16714681741587523,0,0,0,0,0,Normal
4,2025-12-18T09:00:00.000Z,87280.95,0.3471758348971177,0,0,0,0,0,Normal
5,2025-12-18T10:00:00.000Z,87341.95,0.06988924845570121,0,0,0,0,0,Normal
6,2025-12-18T11:00:00.000Z,87300.74,-0.04718236769386541,0,0,0,0,0,Normal
7,2025-12-18T12:00:00.000Z,87259.99,-0.04667772575581708,0,0,0,0,0,Normal
8,2025-12-18T13:00:00.000Z,88851.7,1.8241005986821657,1,1,1,0,3,ANOMALY
9,2025-12-18T14:00:00.000Z,88345.2,-0.5700509950850696,1,0,0,0,1,Normal
10,2025-12-18T15:00:00.000Z,88513.44,0.19043479442006905,0,0,0,0,0,Normal
11,2025-12-18T16:00:00.000Z,88014.0,-0.5642532930592248,0,0,0,1,1,Normal
12,2025-12-18T17:00:00.000Z,86483.56,-1.7388597268616413,1,1,1,0,3,ANOMALY
13,2025-12-18T18:00:00.000Z,85970.0,-0.5938238435143073,0,0,0,0,0,Normal
14,2025-12-18T19:00:00.000Z,84483.79,-1.7287542165871916,1,1,1,0,3,ANOMALY
15,2025-12-18T20:00:00.000Z,84582.65,0.11701653062676787,0,0,0,0,0,Normal
16,2025-12-18T21:00:00.000Z,85630.95,1.2393794708489336,1,1,1,0,3,ANOMALY
17,2025-12-18T22:00:00.000Z,85582.88,-0.056136245130988804,0,0,0,0,0,Normal
18,2025-12-18T23:00:00.000Z,85516.41,-0.07766740263940308,0,0,0,0,0,Normal
19,2025-12-19T00:00:00.000Z,85604.88,0.10345382833540917,0,0,0,0,0,Normal
20,2025-12-19T01:00:00.000Z,85320.43,-0.33228245866357975,0,0,0,0,0,Normal
21,2025-12-19T02:00:00.000Z,85643.44,0.3785845898807594,0,0,0,0,0,Normal
22,2025-12-19T03:00:00.000Z,86891.39,1.4571460464455788,1,1,1,0,3,ANOMALY
23,2025-12-19T04:00:00.000Z,87103.34,0.24392520363640813,0,0,0,0,0,Normal
24,2025-12-19T05:00:00.000Z,87139.95,0.04203053522402467,0,0,0,0,0,Normal
25,2025-12-19T06:00:00.000Z,87483.41,0.39414757525109145,0,0,0,1,1,Normal
26,2025-12-19T07:00:00.000Z,87953.4,0.5372332880028141,1,0,0,0,1,Normal
27,2025-12-19T08:00:00.000Z,88102.78,0.16983993796715335,0,0,0,0,0,Normal
28,2025-12-19T09:00:00.000Z,88105.03,0.002553835418139805,0,0,0,0,0,Normal
29,2025-12-19T10:00:00.000Z,88267.09,0.1839395548699052,0,0,0,0,0,Normal
30,2025-12-19T11:00:00.000Z,88198.7,-0.07748074622149215,0,0,0,0,0,Normal
31,2025-12-19T12:00:00.000Z,87855.92,-0.38864518411269033,0,0,0,0,0,Normal
32,2025-12-19T13:00:00.000Z,87997.14,0.16074044868006343,0,0,0,0,0,Normal
33,2025-12-19T14:00:00.000Z,88180.01,0.20781357212291685,0,0,0,0,0,Normal
34,2025-12-19T15:00:00.000Z,87951.87,-0.2587207690268989,1,0,0,0,1,Normal
35,2025-12-19T16:00:00.000Z,87983.25,0.03567860467321715,0,0,0,0,0,Normal
36,2025-12-19T17:00:00.000Z,86943.25,-1.1820431729903103,1,0,0,0,1,Normal
37,2025-12-19T18:00:00.000Z,87155.44,0.2440557490086981,0,0,0,0,0,Normal
38,2025-12-19T19:00:00.000Z,87845.92,0.7922397041423945,0,0,0,0,0,Normal
39,2025-12-19T20:00:00.000Z,88099.6,0.28877835191436496,0,0,0,0,0,Normal
40,2025-12-19T21:00:00.000Z,87839.4,-0.29534753846783834,0,0,0,0,0,Normal
41,2025-12-19T22:00:00.000Z,88344.78,0.5753454600099683,0,0,0,0,0,Normal
42,2025-12-19T23:00:00.000Z,88136.94,-0.2352600798824711,0,0,0,0,0,Normal
43,2025-12-20T00:00:00.000Z,88005.63,-0.1489840695626521,0,0,0,0,0,Normal
44,2025-12-20T01:00:00.000Z,88075.89,0.07983580141406321,0,0,0,0,0,Normal
45,2025-12-20T02:00:00.000Z,88204.04,0.14549952319526938,0,0,0,0,0,Normal
46,2025-12-20T03:00:00.000Z,88214.98,0.01240305999590241,0,0,0,0,0,Normal
47,2025-12-20T04:00:00.000Z,88295.37,0.09112964714155236,0,0,0,0,0,Normal
48,2025-12-20T05:00:00.000Z,88295.31,-6.79537330183777E-5,0,0,0,0,0,Normal
49,2025-12-20T06:00:00.000Z,88305.81,0.011891911359729335,0,0,0,0,0,Normal
50,2025-12-20T07:00:00.000Z,88275.41,-0.03442582090577018,0,0,0,0,0,Normal
51,2025-12-20T08:00:00.000Z,88257.21,-0.02061729308309168,0,0,0,0,0,Normal
52,2025-12-20T09:00:00.000Z,88224.0,-0.037628653794974376,0,0,0,0,0,Normal
53,2025-12-20T10:00:00.000Z,88163.99,-0.06802003989843097,0,0,0,0,0,Normal
54,2025-12-20T11:00:00.000Z,88277.66,0.12893019020576713,0,0,0,0,0,Normal
55,2025-12-20T12:00:00.000Z,88256.08,-0.02444559586196604,0,0,0,0,0,Normal
56,2025-12-20T13:00:00.000Z,88270.39,0.016214180371476594,0,0,0,0,0,Normal
57,2025-12-20T14:00:00.000Z,88260.88,-0.010773714719047867,0,0,0,0,0,Normal
58,2025-12-20T15:00:00.000Z,88178.71,-0.09309900377154623,0,0,0,0,0,Normal
59,2025-12-20T16:00:00.000Z,88149.72,-0.032876416540916775,0,0,0,0,0,Normal
60,2025-12-20T17:00:00.000Z,88181.8,0.03639262836001578,0,0,0,0,0,Normal
61,2025-12-20T18:00:00.000Z,88313.21,0.1490216802106703,0,0,0,0,0,Normal
62,2025-12-20T19:00:00.000Z,88232.92,-0.09091505110051523,0,0,0,0,0,Normal
